,sequence_names,true_vals,pred_vals,Fold
253,>CHR1:194545416-194545616,-0.0836202088878049,-0.32802933,0
254,>CHR20:62718275-62718475,-0.187913546619392,-0.09895827,0
255,>CHR20:37233575-37233775,0.0181676211874236,-0.4528425,0
256,>CHR6:74028166-74028366,0.0132661717843194,-0.45000002,0
257,>CHR4:135393836-135394036,-0.00350023915848757,-0.81193364,0
258,>CHR19:4014975-4015175,0.176173656048604,-0.23823471,0
259,>CHR19:29355655-29355855,0.0089726014840199,-0.16905123,0
260,>CHR1:2399638-2399838,-0.113393783571587,-0.25046632,0
261,>CHR8:14660306-14660506,-0.182196711924018,-0.12689652,0
262,>CHR7:142409256-142409456,0.0286038764934282,-0.11168997,0
263,>CHR12:8034456-8034656,0.84455175312035,-0.032230277,0
264,>CHRX:150834015-150834215,-0.331850430455608,-0.16993342,0
265,>CHR11:91760415-91760615,0.693669588227174,0.37372616,0
266,>CHR3:154381856-154382056,1.24839218617956,0.022293609,0
267,>CHR10:66459096-66459296,0.191221007616228,0.30294213,0
268,>CHR2:124671076-124671276,-0.144930043476392,-0.44476977,0
269,>CHR11:6755015-6755215,-0.0244650208578474,0.15067066,0
270,>CHR12:19535026-19535226,-0.095378044692938,-0.46956155,0
271,>CHR1:165684255-165684455,-0.498032517952209,-0.66653275,0
272,>CHR2:69670856-69671056,-0.121441938657902,-0.0886289,0
273,>CHR7:64234696-64234896,-0.00814404766801416,-0.38038304,0
274,>CHR6:123851096-123851296,0.989044837793181,-0.10260831,0
275,>CHR17:73380816-73381016,-0.254762224864895,-0.22142433,0
276,>CHR8:33872176-33872376,-4.48349532876143,-0.41867235,0
277,>CHR6:20586816-20587016,-0.251399428657236,-0.44049254,0
278,>CHR12:22079516-22079716,-0.0427680411580413,-0.11855321,0
279,>CHR3:65087276-65087476,-0.393042270936167,-0.33541027,0
280,>CHR19:28910615-28910815,-0.922991973111311,-0.005354006,0
281,>CHR11:89900876-89901076,-0.314997818312232,-0.09030332,0
282,>CHR5:174825035-174825235,0.550948861700124,0.06755079,0
283,>CHR2:194702196-194702396,0.414323759980757,-0.35157496,0
284,>CHR8:19755996-19756196,0.29233310617225,-0.29897484,0
285,>CHR6:141194135-141194335,-0.056178374226964,-0.89559156,0
286,>CHR1:5907446-5907646,-1.00847662727688,0.05085377,0
